"Month","Year","Observed","Annual_Recon","Monthly_Recon"
12,1672,NA,5.158,3.14336281218759
1,1673,NA,5.158,2.78960024421248
2,1673,NA,5.158,2.72732281626034
3,1673,NA,5.158,3.11593645444179
4,1673,NA,5.158,5.04862950962263
5,1673,NA,5.158,12.0207912326256
6,1673,NA,5.158,11.410587558683
7,1673,NA,5.158,6.74781235602925
8,1673,NA,5.158,4.58388501440299
9,1673,NA,5.158,3.84038786807023
10,1673,NA,7.48,3.41263287374428
11,1673,NA,7.48,3.07149418007619
12,1673,NA,7.48,2.67031191229889
1,1674,NA,7.48,2.62774974391485
2,1674,NA,7.48,2.72430129608608
3,1674,NA,7.48,3.28967929768542
4,1674,NA,7.48,7.37916417368164
5,1674,NA,7.48,17.6174133052765
6,1674,NA,7.48,21.122947084582
7,1674,NA,7.48,11.4388329237014
8,1674,NA,7.48,6.61347760027965
9,1674,NA,7.48,5.36312659721258
10,1674,NA,7.07,4.58058672397938
11,1674,NA,7.07,4.03108220463733
12,1674,NA,7.07,3.41448140603731
1,1675,NA,7.07,3.15778353476227
2,1675,NA,7.07,3.10578711646972
3,1675,NA,7.07,3.44852976079734
4,1675,NA,7.07,5.61562916413113
5,1675,NA,7.07,16.4789133678898
6,1675,NA,7.07,17.5189704090985
7,1675,NA,7.07,9.85312435304304
8,1675,NA,7.07,6.05860295599541
9,1675,NA,7.07,4.90292461987646
10,1675,NA,9.469,4.24878738994079
11,1675,NA,9.469,3.78164348292877
12,1675,NA,9.469,3.39612727524826
1,1676,NA,9.469,3.18753826919515
2,1676,NA,9.469,3.35578702012576
3,1676,NA,9.469,4.19296344914291
4,1676,NA,9.469,10.1788467511575
5,1676,NA,9.469,23.0799801294403
6,1676,NA,9.469,28.253016960927
7,1676,NA,9.469,15.4635626514253
8,1676,NA,9.469,8.51442387236308
9,1676,NA,9.469,6.84404309112336
10,1676,NA,5.998,5.74627707496774
11,1676,NA,5.998,4.88069947808485
12,1676,NA,5.998,3.92774599661183
1,1677,NA,5.998,3.59446059447837
2,1677,NA,5.998,3.24953112839611
3,1677,NA,5.998,3.3979545052715
4,1677,NA,5.998,4.97478925158693
5,1677,NA,5.998,13.7628394654569
6,1677,NA,5.998,12.6565739408917
7,1677,NA,5.998,7.11601919865359
8,1677,NA,5.998,5.05629720635007
9,1677,NA,5.998,4.13363325904324
10,1677,NA,7.903,3.6866917838363
11,1677,NA,7.903,3.36914741790566
12,1677,NA,7.903,3.0324605758365
1,1678,NA,7.903,2.72305969849433
2,1678,NA,7.903,2.81426740611051
3,1678,NA,7.903,3.51449876360038
4,1678,NA,7.903,8.44975273998183
5,1678,NA,7.903,18.8121075895519
6,1678,NA,7.903,21.6899290464566
7,1678,NA,7.903,11.325189108594
8,1678,NA,7.903,6.78255546730013
9,1678,NA,7.903,5.47459497221097
10,1678,NA,7.039,4.66233122705003
11,1678,NA,7.039,4.09301944720504
12,1678,NA,7.039,3.38346164803521
1,1679,NA,7.039,3.18152667960516
2,1679,NA,7.039,3.11904979602866
3,1679,NA,7.039,3.57773269362735
4,1679,NA,7.039,7.0726788805438
5,1679,NA,7.039,16.3943204108117
6,1679,NA,7.039,17.3482868888005
7,1679,NA,7.039,9.2781636650086
8,1679,NA,7.039,5.99578260008354
9,1679,NA,7.039,4.81314381826674
10,1679,NA,7.455,4.20430310122924
11,1679,NA,7.455,3.68833488689819
12,1679,NA,7.455,3.22941744935983
1,1680,NA,7.455,2.88193085943771
2,1680,NA,7.455,2.9709387940347
3,1680,NA,7.455,3.40182551002944
4,1680,NA,7.455,6.47359158545773
5,1680,NA,7.455,17.547187983689
6,1680,NA,7.455,21.0771684525422
7,1680,NA,7.455,11.4191137188135
8,1680,NA,7.455,6.84682109574259
9,1680,NA,7.455,5.48832755966032
10,1680,NA,5.077,4.66952515243907
11,1680,NA,5.077,4.06161330777001
12,1680,NA,5.077,3.36657048149806
