"","month","year","t","norm_est","flow_est"
"1",1,1604,1,NA,NA
"2",2,1604,2,NA,NA
"3",3,1604,3,NA,NA
"4",4,1604,4,NA,NA
"5",5,1604,5,NA,NA
"6",6,1604,6,NA,NA
"7",7,1604,7,NA,NA
"8",8,1604,8,NA,NA
"9",9,1604,9,NA,NA
"10",10,1604,10,NA,NA
"11",11,1604,11,NA,NA
"12",12,1604,12,NA,NA
"13",1,1605,13,NA,NA
"14",2,1605,14,NA,NA
"15",3,1605,15,NA,NA
"16",4,1605,16,NA,NA
"17",5,1605,17,-0.259861231815103,14.2226483093714
"18",6,1605,18,NA,NA
"19",7,1605,19,NA,NA
"20",8,1605,20,NA,NA
"21",9,1605,21,0.0799274642039752,4.71618893430383
"22",10,1605,22,0.204343170853496,4.23592697721074
"23",11,1605,23,0.144404652442494,3.71446708094358
"24",12,1605,24,0.139553805327258,3.31522183051969
"25",1,1606,25,0.198263598342442,3.13338203979037
"26",2,1606,26,-0.00236342318434508,2.95379705493885
"27",3,1606,27,0.843067325500333,4.18135428609407
"28",4,1606,28,0.696895705417809,8.80854035958966
"29",5,1606,29,0.34473485240988,18.0460138484411
"30",6,1606,30,0.65373046729966,22.9102764935007
"31",7,1606,31,0.762551259454296,12.3940240938104
"32",8,1606,32,0.784655734994727,7.33856330575001
"33",9,1606,33,0.802938485794476,5.80140966750916
"34",10,1606,34,0.171025131510815,4.19935252806731
"35",11,1606,35,0.0686705671250648,3.64756997237339
"36",12,1606,36,0.0750913825307539,3.26818234812557
"37",1,1607,37,0.341483325295754,3.22693136648119
"38",2,1607,38,-0.175626257348924,2.85122235262453
"39",3,1607,39,-0.144101249235849,3.25432914370227
"40",4,1607,40,-0.757337954009499,4.92367949278294
"41",5,1607,41,-1.17740785576207,9.53212463485391
"42",6,1607,42,-1.01458638488159,9.29227066809423
"43",7,1607,43,-0.746567621742144,6.01520547847275
"44",8,1607,44,-0.838925961561494,4.2064932056766
"45",9,1607,45,-0.842273307665852,3.54086646397959
"46",10,1607,46,-0.519089349166027,3.48850251268579
"47",11,1607,47,-0.431656421498152,3.22575749784239
"48",12,1607,48,-0.442615290833252,2.90647842244503
"49",1,1608,49,-0.239377135564015,2.8587529416571
"50",2,1608,50,-0.275991931310322,2.7929090119802
"51",3,1608,51,1.39462927269604,4.76770725098814
"52",4,1608,52,1.48972229783893,11.5915683456766
"53",5,1608,53,0.409575379764043,18.4926026779383
"54",6,1608,54,0.678718265031757,23.1791644074239
"55",7,1608,55,0.84925976705238,12.8567729240157
"56",8,1608,56,0.847204210984558,7.48301956699722
"57",9,1608,57,0.839652141822927,5.86051306130418
"58",10,1608,58,0.808731263923162,4.93649380855694
"59",11,1608,59,0.877945006721092,4.4049699592086
"60",12,1608,60,0.882862814327532,3.89043988509008
"61",1,1609,61,0.756191274653088,3.50820931668955
"62",2,1609,62,0.712878880200629,3.40323155589374
"63",3,1609,63,0.941402543670205,4.28222678503465
"64",4,1609,64,0.485842099159985,8.14966001050386
"65",5,1609,65,-0.017775802200415,15.6806843612521
"66",6,1609,66,-0.239613010077413,14.5992052177331
"67",7,1609,67,0.026960722629139,8.90125953485081
"68",8,1609,68,-0.00556823707413067,5.66901928767045
"69",9,1609,69,0.103889001218317,4.74979386821573
"70",10,1609,70,-0.385404054716574,3.61933767613094
"71",11,1609,71,-0.392847466159486,3.25723907733107
"72",12,1609,72,-0.370566493391826,2.95512044516894
"73",1,1610,73,0.315504421436147,3.2098264123664
"74",2,1610,74,0.366897030452857,3.18055489866426
"75",3,1610,75,0.695006682998689,4.03243593839216
"76",4,1610,76,0.187164396392242,7.27407712058872
"77",5,1610,77,-0.518859986619727,12.7673123341401
"78",6,1610,78,0.0719559417801045,17.2170945138274
"79",7,1610,79,0.117933167270956,9.29230299041794
"80",8,1610,80,-0.0273875171269694,5.62691700331614
"81",9,1610,81,0.136333872521425,4.79555016146674
"82",10,1610,82,1.06395571832577,5.25383357608839
"83",11,1610,83,0.950071882767027,4.47709909855114
"84",12,1610,84,0.959056946781812,3.95286786561393
"85",1,1611,85,1.3265320350184,3.92074255053605
"86",2,1611,86,1.22252225235901,3.74958600743168
"87",3,1611,87,1.83701619326601,5.27472080768133
"88",4,1611,88,0.985814928457567,9.76567293946561
"89",5,1611,89,0.794213351424558,21.2921113227691
"90",6,1611,90,0.898863864900372,25.6373971971005
"91",7,1611,91,1.51495695389051,16.7847954658229
