"month","year","logan2013","bear2015","weber2014"
8,815,NA,4.42,NA
9,815,NA,4.42,NA
10,815,NA,6.155,NA
11,815,NA,6.155,NA
12,815,NA,6.155,NA
1,816,NA,6.155,NA
2,816,NA,6.155,NA
3,816,NA,6.155,NA
4,816,NA,6.155,NA
5,816,NA,6.155,NA
6,816,NA,6.155,NA
7,816,NA,6.155,NA
8,816,NA,6.155,NA
9,816,NA,6.155,NA
10,816,NA,4.431,NA
11,816,NA,4.431,NA
12,816,NA,4.431,NA
1,817,NA,4.431,NA
2,817,NA,4.431,NA
3,817,NA,4.431,NA
4,817,NA,4.431,NA
5,817,NA,4.431,NA
6,817,NA,4.431,NA
7,817,NA,4.431,NA
8,817,NA,4.431,NA
9,817,NA,4.431,NA
10,817,NA,3.681,NA
11,817,NA,3.681,NA
12,817,NA,3.681,NA
1,818,NA,3.681,NA
2,818,NA,3.681,NA
3,818,NA,3.681,NA
4,818,NA,3.681,NA
5,818,NA,3.681,NA
6,818,NA,3.681,NA
7,818,NA,3.681,NA
8,818,NA,3.681,NA
9,818,NA,3.681,NA
10,818,NA,5.583,NA
11,818,NA,5.583,NA
12,818,NA,5.583,NA
1,819,NA,5.583,NA
2,819,NA,5.583,NA
3,819,NA,5.583,NA
4,819,NA,5.583,NA
5,819,NA,5.583,NA
6,819,NA,5.583,NA
7,819,NA,5.583,NA
8,819,NA,5.583,NA
9,819,NA,5.583,NA
10,819,NA,6.379,NA
11,819,NA,6.379,NA
12,819,NA,6.379,NA
1,820,NA,6.379,NA
2,820,NA,6.379,NA
3,820,NA,6.379,NA
4,820,NA,6.379,NA
5,820,NA,6.379,NA
6,820,NA,6.379,NA
7,820,NA,6.379,NA
8,820,NA,6.379,NA
9,820,NA,6.379,NA
10,820,NA,4.849,NA
11,820,NA,4.849,NA
12,820,NA,4.849,NA
1,821,NA,4.849,NA
2,821,NA,4.849,NA
3,821,NA,4.849,NA
4,821,NA,4.849,NA
5,821,NA,4.849,NA
6,821,NA,4.849,NA
7,821,NA,4.849,NA
8,821,NA,4.849,NA
9,821,NA,4.849,NA
10,821,NA,5.017,NA
11,821,NA,5.017,NA
12,821,NA,5.017,NA
1,822,NA,5.017,NA
2,822,NA,5.017,NA
3,822,NA,5.017,NA
4,822,NA,5.017,NA
5,822,NA,5.017,NA
6,822,NA,5.017,NA
7,822,NA,5.017,NA
8,822,NA,5.017,NA
9,822,NA,5.017,NA
10,822,NA,6.39,NA
11,822,NA,6.39,NA
12,822,NA,6.39,NA
1,823,NA,6.39,NA
