"Year","Month","Observed","Annual_Recon"
1409,1,NA,NA
1410,1,NA,NA
1411,1,NA,NA
1412,1,NA,NA
1413,1,NA,NA
1414,1,NA,NA
1415,1,NA,NA
1416,1,NA,NA
1417,1,NA,NA
1418,1,NA,NA
1419,1,NA,NA
1420,1,NA,NA
1421,1,NA,NA
1422,1,NA,NA
1423,1,NA,NA
1424,1,NA,NA
1425,1,NA,NA
1426,1,NA,NA
1427,1,NA,NA
1428,1,NA,NA
1429,1,NA,6.132556056
1430,1,NA,6.413857134
1431,1,NA,6.948736947
1432,1,NA,5.979729207
1433,1,NA,5.83754955
1434,1,NA,6.096310296
1435,1,NA,6.168490329
1436,1,NA,6.738653124
1437,1,NA,3.688430835
1438,1,NA,3.196196424
1439,1,NA,4.702915677
1440,1,NA,8.694536631
1441,1,NA,8.745677133
1442,1,NA,6.449168433
1443,1,NA,8.219264103
1444,1,NA,5.719609245
1445,1,NA,6.359177007
1446,1,NA,7.33608519
1447,1,NA,8.179223865
1448,1,NA,6.17423868
1449,1,NA,6.403832916
1450,1,NA,5.954668662
1451,1,NA,9.736828767
1452,1,NA,10.06006732
1453,1,NA,8.924725524
1454,1,NA,7.783295571
1455,1,NA,8.452567866
1456,1,NA,3.767916654
1457,1,NA,6.68167932
1458,1,NA,6.157588284
1459,1,NA,3.686476962
1460,1,NA,1.259058771
1461,1,NA,2.256383511
1462,1,NA,7.986186876
1463,1,NA,10.19208118
1464,1,NA,7.490186304
1465,1,NA,4.997044356
1466,1,NA,5.816764872
1467,1,NA,6.93426696
1468,1,NA,6.031492683
1469,1,NA,6.702322413
1470,1,NA,6.030558222
1471,1,NA,4.150904079
1472,1,NA,4.555978764
1473,1,NA,4.51741101
1474,1,NA,2.087132802
1475,1,NA,0.845715522
1476,1,NA,6.231354069
1477,1,NA,7.471072329
1478,1,NA,7.904152527
1479,1,NA,4.582313574
1480,1,NA,5.014997334
1481,1,NA,5.262629499
1482,1,NA,6.479920695
1483,1,NA,7.83757926
1484,1,NA,9.438565806
1485,1,NA,7.498681404
1486,1,NA,7.098109122
1487,1,NA,6.009745227
1488,1,NA,5.887302519
1489,1,NA,5.872521045
1490,1,NA,7.366356063
1491,1,NA,7.054274406
1492,1,NA,4.738680048
1493,1,NA,5.093973447
1494,1,NA,5.254304301
1495,1,NA,1.945746021
1496,1,NA,2.508404811
1497,1,NA,3.941188377
1498,1,NA,6.027669888
1499,1,NA,3.108045603
1500,1,NA,2.548614951
1501,1,NA,6.157616601
1502,1,NA,7.347921696
1503,1,NA,6.265787541
1504,1,NA,5.234425767
1505,1,NA,1.392148671
1506,1,NA,0.956661528
1507,1,NA,4.869164784
1508,1,NA,7.754270646
1509,1,NA,8.362944561
1510,1,NA,4.543406016
1511,1,NA,6.151358544
1512,1,NA,7.243262064
1513,1,NA,6.985350828
1514,1,NA,8.132585766
1515,1,NA,4.70486955
1516,1,NA,7.931563383
1517,1,NA,6.394431672
1518,1,NA,3.226382346
1519,1,NA,7.441169577
1520,1,NA,6.838951938
1521,1,NA,7.383431214
1522,1,NA,5.229158805
1523,1,NA,7.844998314
1524,1,NA,7.941559284
1525,1,NA,8.52030213
1526,1,NA,7.411634946
1527,1,NA,7.070216877
1528,1,NA,5.273503227
1529,1,NA,3.288481527
1530,1,NA,4.113808809
1531,1,NA,3.678689787
1532,1,NA,0.976455111
1533,1,NA,4.581747234
1534,1,NA,5.836586772
1535,1,NA,7.920944508
1536,1,NA,9.163721004
1537,1,NA,6.51206049
1538,1,NA,6.255621738
1539,1,NA,5.722469262
1540,1,NA,5.008342839
1541,1,NA,4.966858434
1542,1,NA,3.55689837
1543,1,NA,3.328550082
1544,1,NA,3.30062952
1545,1,NA,3.499358226
1546,1,NA,6.737916882
1547,1,NA,7.359956421
1548,1,NA,8.947973781
1549,1,NA,9.953368866
1550,1,NA,9.089841951
1551,1,NA,8.050862904
1552,1,NA,7.401610728
1553,1,NA,7.085309838
1554,1,NA,4.785204879
