"Year","Month","Observed","Annual_Recon"
1488,NA,NA,NA
1489,NA,NA,NA
1490,NA,NA,NA
1491,NA,NA,NA
1492,NA,NA,NA
1493,NA,NA,NA
1494,NA,NA,NA
1495,NA,NA,NA
1496,NA,NA,NA
1497,NA,NA,NA
1498,NA,NA,NA
1499,NA,NA,NA
1500,NA,NA,NA
1501,NA,NA,NA
1502,NA,NA,NA
1503,NA,NA,NA
1504,NA,NA,NA
1505,NA,NA,NA
1506,NA,NA,NA
1507,NA,NA,NA
1508,1,NA,28.346
1509,1,NA,34.663
1510,1,NA,21.281
1511,1,NA,24.645
1512,1,NA,29.944
1513,1,NA,26.375
1514,1,NA,32.723
1515,1,NA,18.962
1516,1,NA,19.419
1517,1,NA,25.369
1518,1,NA,27.414
1519,1,NA,23.469
1520,1,NA,25.887
1521,1,NA,41.249
1522,1,NA,13.997
1523,1,NA,31.601
1524,1,NA,29.062
1525,1,NA,24.826
1526,1,NA,34.691
1527,1,NA,22.812
1528,1,NA,18.495
1529,1,NA,26.864
1530,1,NA,24.528
1531,1,NA,21.355
1532,1,NA,14.52
1533,1,NA,28.011
1534,1,NA,23.295
1535,1,NA,29.942
1536,1,NA,33.646
1537,1,NA,24.171
1538,1,NA,15.818
1539,1,NA,26.077
1540,1,NA,32.034
1541,1,NA,24.423
1542,1,NA,10.811
1543,1,NA,27.468
1544,1,NA,20.472
1545,1,NA,16.85
1546,1,NA,27.188
1547,1,NA,19.801
1548,1,NA,29.979
1549,1,NA,36.767
1550,1,NA,26.337
1551,1,NA,20.793
1552,1,NA,27.561
1553,1,NA,31.655
1554,1,NA,20.823
1555,1,NA,28.325
1556,1,NA,29.845
1557,1,NA,31.961
1558,1,NA,12.18
1559,1,NA,25.605
1560,1,NA,29.124
1561,1,NA,21.325
1562,1,NA,19.172
1563,1,NA,23.574
1564,1,NA,28.227
1565,1,NA,33.848
1566,1,NA,20.082
1567,1,NA,18.146
1568,1,NA,32.589
1569,1,NA,26.612
1570,1,NA,29.386
1571,1,NA,24.208
1572,1,NA,29.77
1573,1,NA,15.999
1574,1,NA,15.921
1575,1,NA,28.125
1576,1,NA,19.458
1577,1,NA,32.44
1578,1,NA,26.89
1579,1,NA,22.181
1580,1,NA,13.91
1581,1,NA,19.872
1582,1,NA,20.104
1583,1,NA,17.839
1584,1,NA,12.07
1585,1,NA,22.849
1586,1,NA,25.779
1587,1,NA,25.811
1588,1,NA,34.097
1589,1,NA,39.072
1590,1,NA,7.687
1591,1,NA,21.91
1592,1,NA,22.56
1593,1,NA,22.455
1594,1,NA,30.437
1595,1,NA,38.06
1596,1,NA,34.78
1597,1,NA,21.86
1598,1,NA,12.64
1599,1,NA,40.619
1600,1,NA,15.002
1601,1,NA,29.089
1602,1,NA,27.495
1603,1,NA,35.792
1604,1,NA,36.107
1605,1,NA,30.241
1606,1,NA,30.303
1607,1,NA,11.988
1608,1,NA,33.383
1609,1,NA,29.717
1610,1,NA,35.138
1611,1,NA,25.366
1612,1,NA,21.629
1613,1,NA,25.563
1614,1,NA,26.905
1615,1,NA,31.484
1616,1,NA,23.667
1617,1,NA,32.447
1618,1,NA,33.72
1619,1,NA,26.146
1620,1,NA,28.56
1621,1,NA,26.174
1622,1,NA,16.305
1623,1,NA,15.073
1624,1,NA,13.693
1625,1,NA,14.544
1626,1,NA,19.215
1627,1,NA,31.142
1628,1,NA,21.767
1629,1,NA,23.408
1630,1,NA,31.667
1631,1,NA,11.749
1632,1,NA,20.255
1633,1,NA,30.981
1634,1,NA,21.105
1635,1,NA,25.461
1636,1,NA,20.487
1637,1,NA,26.41
1638,1,NA,21.101
1639,1,NA,33.464
1640,1,NA,30.176
1641,1,NA,24.135
1642,1,NA,28.932
1643,1,NA,27.185
1644,1,NA,27.292
1645,1,NA,15.438
1646,1,NA,23.168
1647,1,NA,28.35
1648,1,NA,19.419
1649,1,NA,36.57
1650,1,NA,31.474
1651,1,NA,28.84
