"Year","Month","Observed","Annual_Recon"
780,NA,NA,NA
781,NA,NA,NA
782,NA,NA,NA
783,NA,NA,NA
784,NA,NA,NA
785,NA,NA,NA
786,NA,NA,NA
787,NA,NA,NA
788,NA,NA,NA
789,NA,NA,NA
790,NA,NA,NA
791,NA,NA,NA
792,NA,NA,NA
793,NA,NA,NA
794,NA,NA,NA
795,NA,NA,NA
796,NA,NA,NA
797,NA,NA,NA
798,NA,NA,NA
799,NA,NA,NA
800,1,NA,4.146
801,1,NA,5.217
802,1,NA,5.746
803,1,NA,6.093
804,1,NA,6.004
805,1,NA,4.661
806,1,NA,5.868
807,1,NA,5.069
808,1,NA,5.182
809,1,NA,4.693
810,1,NA,4.496
811,1,NA,4.323
812,1,NA,4.012
813,1,NA,5.022
814,1,NA,4.163
815,1,NA,4.42
816,1,NA,6.155
817,1,NA,4.431
818,1,NA,3.681
819,1,NA,5.583
820,1,NA,6.379
821,1,NA,4.849
822,1,NA,5.017
823,1,NA,6.39
824,1,NA,4.908
825,1,NA,5.626
826,1,NA,5.451
827,1,NA,5.193
828,1,NA,4.453
829,1,NA,3.679
830,1,NA,4.649
831,1,NA,4.186
832,1,NA,3.887
833,1,NA,4.802
834,1,NA,5.492
835,1,NA,5.74
836,1,NA,4.558
837,1,NA,4.102
838,1,NA,3.343
839,1,NA,3.043
840,1,NA,4.787
841,1,NA,3.791
842,1,NA,3.013
843,1,NA,3.993
844,1,NA,4.141
845,1,NA,3.949
846,1,NA,4.08
847,1,NA,4.162
848,1,NA,4.964
849,1,NA,4.497
850,1,NA,5.291
851,1,NA,4.838
852,1,NA,5.263
853,1,NA,5.454
854,1,NA,5.266
855,1,NA,3.723
856,1,NA,4.624
857,1,NA,4.766
858,1,NA,6.284
859,1,NA,6.069
860,1,NA,5.427
861,1,NA,4.668
862,1,NA,4.283
863,1,NA,4.359
864,1,NA,4.164
865,1,NA,3.268
866,1,NA,4.33
867,1,NA,3.204
868,1,NA,3.23
869,1,NA,4.057
870,1,NA,4.276
871,1,NA,4.775
872,1,NA,3.379
873,1,NA,2.578
874,1,NA,3.953
875,1,NA,5.235
876,1,NA,5.054
877,1,NA,5.937
878,1,NA,7.068
879,1,NA,6.775
880,1,NA,5.851
881,1,NA,6.419
882,1,NA,4.374
883,1,NA,4.012
884,1,NA,4.607
885,1,NA,4.848
886,1,NA,5.246
887,1,NA,4.391
888,1,NA,5.872
889,1,NA,5.012
890,1,NA,4.11
891,1,NA,4.656
892,1,NA,5.426
893,1,NA,4.871
894,1,NA,5.815
895,1,NA,4.205
896,1,NA,6.066
897,1,NA,6.623
898,1,NA,6.36
899,1,NA,6.882
900,1,NA,5.664
901,1,NA,6.161
902,1,NA,5.797
903,1,NA,4.24
904,1,NA,4.628
905,1,NA,4.558
906,1,NA,5.643
907,1,NA,4.83
908,1,NA,5.002
909,1,NA,5.249
910,1,NA,5.252
911,1,NA,4.94
912,1,NA,3.934
913,1,NA,3.323
914,1,NA,4.493
915,1,NA,4.168
916,1,NA,4.92
917,1,NA,5.574
918,1,NA,4.939
919,1,NA,5.705
920,1,NA,3.561
921,1,NA,4.57
922,1,NA,4.172
923,1,NA,4.179
924,1,NA,2.682
925,1,NA,4.812
926,1,NA,4.283
927,1,NA,3.457
928,1,NA,5.483
929,1,NA,5.242
930,1,NA,4.961
931,1,NA,4.598
932,1,NA,4.421
933,1,NA,4.432
934,1,NA,3.606
935,1,NA,4.513
936,1,NA,4.858
937,1,NA,6.061
938,1,NA,5.597
939,1,NA,4.877
940,1,NA,4.198
941,1,NA,5.359
942,1,NA,4.186
943,1,NA,4.956
944,1,NA,4.593
