"Month","Year","Observed","Annual_Recon","Monthly_Recon"
4,1671,NA,5.058,2.78894468197966
5,1671,NA,5.058,14.2735813029271
6,1671,NA,5.058,22.6869442605355
7,1671,NA,5.058,5.42832465889772
8,1671,NA,5.058,1.93585125168507
9,1671,NA,5.058,1.26509743756883
10,1671,NA,6.568,1.53574163842985
11,1671,NA,6.568,1.41726012038881
12,1671,NA,6.568,1.22920300029432
1,1672,NA,6.568,1.149074731387
2,1672,NA,6.568,1.12679211428108
3,1672,NA,6.568,1.208395100213
4,1672,NA,6.568,2.78894468197966
5,1672,NA,6.568,15.1335726561436
6,1672,NA,6.568,32.2531148239713
7,1672,NA,6.568,10.6294851285803
8,1672,NA,6.568,2.86108242026421
9,1672,NA,6.568,1.97057465835
10,1672,NA,6.007,1.99315573252514
11,1672,NA,6.007,1.68487385129458
12,1672,NA,6.007,1.36330635083826
1,1673,NA,6.007,1.32609541072872
2,1673,NA,6.007,1.26618225595546
3,1673,NA,6.007,1.3391037416247
4,1673,NA,6.007,2.78894468197966
5,1673,NA,6.007,15.4863206817892
6,1673,NA,6.007,26.9280662580758
7,1673,NA,6.007,10.1548494154042
8,1673,NA,6.007,3.00113978332428
9,1673,NA,6.007,2.35644881912666
10,1673,NA,5.684,1.94188558420521
11,1673,NA,5.684,1.63473937318171
12,1673,NA,5.684,1.37926698655899
1,1674,NA,5.684,1.2730132303878
2,1674,NA,5.684,1.21630271681845
3,1674,NA,5.684,1.28763154360553
4,1674,NA,5.684,2.78894468197966
5,1674,NA,5.684,17.2100602581622
6,1674,NA,5.684,24.6857037888885
7,1674,NA,5.684,9.25108124913024
8,1674,NA,5.684,3.23698677070826
9,1674,NA,5.684,2.31132356361586
10,1674,NA,5.69,1.95594703705345
11,1674,NA,5.69,1.64702925345245
12,1674,NA,5.69,1.44053021211706
1,1675,NA,5.69,1.18364539674865
2,1675,NA,5.69,1.14762219576765
3,1675,NA,5.69,1.24178996714593
4,1675,NA,5.69,2.78894468197966
5,1675,NA,5.69,16.8301626366681
6,1675,NA,5.69,24.4601360271442
7,1675,NA,5.69,9.01666708501293
8,1675,NA,5.69,3.00243323445063
9,1675,NA,5.69,2.45220631903332
10,1675,NA,6.62,1.99413966838122
11,1675,NA,6.62,1.63140259776315
12,1675,NA,6.62,1.43649332857757
1,1676,NA,6.62,1.17566876042586
2,1676,NA,6.62,1.15482167510497
3,1676,NA,6.62,1.22645866194713
4,1676,NA,6.62,2.78894468197966
5,1676,NA,6.62,18.7384383335104
6,1676,NA,6.62,31.3575484783401
7,1676,NA,6.62,12.4550797784771
8,1676,NA,6.62,3.42100627078999
9,1676,NA,6.62,2.27798451132042
10,1676,NA,6.033,2.03974201235515
11,1676,NA,6.033,1.68597818065295
12,1676,NA,6.033,1.36903000639299
1,1677,NA,6.033,1.28584811582429
2,1677,NA,6.033,1.2380280361692
3,1677,NA,6.033,1.39126288826737
4,1677,NA,6.033,2.78894468197966
5,1677,NA,6.033,19.9053884966472
6,1677,NA,6.033,25.4632965439113
7,1677,NA,6.033,8.93635938164084
8,1677,NA,6.033,2.94593897376664
9,1677,NA,6.033,1.7554795684488
10,1677,NA,5.129,1.7477057870024
11,1677,NA,5.129,1.55082855566804
12,1677,NA,5.129,1.34537149616548
1,1678,NA,5.129,1.21346203797927
2,1678,NA,5.129,1.16494166405511
3,1678,NA,5.129,1.3923276664973
4,1678,NA,5.129,2.78894468197966
5,1678,NA,5.129,16.1701428682937
6,1678,NA,5.129,19.9393757169662
7,1678,NA,5.129,6.41835974969326
8,1678,NA,5.129,2.60038204695111
9,1678,NA,5.129,2.0365841132887
10,1678,NA,5.098,1.67012164005144
11,1678,NA,5.098,1.48838225394886
12,1678,NA,5.098,1.27105475825631
1,1679,NA,5.098,1.13165620783741
2,1679,NA,5.098,1.09416242928708
3,1679,NA,5.098,1.27034154986658
4,1679,NA,5.098,2.78894468197966
5,1679,NA,5.098,15.8218851185816
6,1679,NA,5.098,20.4925586983772
7,1679,NA,5.098,6.72666759904423
8,1679,NA,5.098,2.46529420312075
9,1679,NA,5.098,2.26402211029019
10,1679,NA,5.908,1.81196720883795
11,1679,NA,5.908,1.53322230471241
12,1679,NA,5.908,1.36740586342736
1,1680,NA,5.908,1.13770747698324
2,1680,NA,5.908,1.11002217055796
3,1680,NA,5.908,1.2134692866848
4,1680,NA,5.908,2.78894468197966
5,1680,NA,5.908,17.3054343507322
6,1680,NA,5.908,25.9757716327267
7,1680,NA,5.908,11.3812789109293
8,1680,NA,5.908,3.94544470212074
9,1680,NA,5.908,3.06757459744202
10,1680,NA,5.989,2.10636722970122
11,1680,NA,5.989,1.70075091487721
12,1680,NA,5.989,1.51750751801388
1,1681,NA,5.989,1.29876418439013
2,1681,NA,5.989,1.23831223773365
3,1681,NA,5.989,1.442540055294
4,1681,NA,5.989,2.78894468197966
5,1681,NA,5.989,18.4343778496569
6,1681,NA,5.989,25.0578521880423
7,1681,NA,5.989,8.43760679968897
8,1681,NA,5.989,2.82444999265344
9,1681,NA,5.989,2.50517077178774
10,1681,NA,6.209,2.10731702846533
11,1681,NA,6.209,1.67254070580275
12,1681,NA,6.209,1.55707945279867
1,1682,NA,6.209,1.20436685276444
2,1682,NA,6.209,1.17392486564095
3,1682,NA,6.209,1.33197337309852
4,1682,NA,6.209,2.78894468197966
5,1682,NA,6.209,17.9459654873993
6,1682,NA,6.209,26.9102836537791
7,1682,NA,6.209,9.10523400618653
8,1682,NA,6.209,3.01880526040951
9,1682,NA,6.209,2.37548675564721
10,1682,NA,5.25,2.00049943855143
11,1682,NA,5.25,1.64890348840299
12,1682,NA,5.25,1.37894662814693
1,1683,NA,5.25,1.22207086920149
2,1683,NA,5.25,1.17510219927389
3,1683,NA,5.25,1.18145583159784
4,1683,NA,5.25,2.78894468197966
5,1683,NA,5.25,16.5991624749097
6,1683,NA,5.25,21.6164119378181
7,1683,NA,5.25,7.88767342821923
8,1683,NA,5.25,3.33076328689802
9,1683,NA,5.25,2.55633755267444
10,1683,NA,4.854,1.62053790397037
11,1683,NA,4.854,1.40212282616712
12,1683,NA,4.854,1.23703326707666
1,1684,NA,4.854,1.09237053950118
2,1684,NA,4.854,1.06336895583384
3,1684,NA,4.854,1.04507842119698
4,1684,NA,4.854,2.78894468197966
5,1684,NA,4.854,15.258951477274
6,1684,NA,4.854,21.4698759279122
7,1684,NA,4.854,7.12909707485348
8,1684,NA,4.854,2.53305291400282
9,1684,NA,4.854,1.84710303880073
10,1684,NA,3.164,1.3218793928024
11,1684,NA,3.164,1.28104418703759
12,1684,NA,3.164,1.04887062863271
1,1685,NA,3.164,0.954372947842431
2,1685,NA,3.164,0.936101986378362
3,1685,NA,3.164,0.861339008285008
4,1685,NA,3.164,2.78894468197966
5,1685,NA,3.164,13.4427700085628
6,1685,NA,3.164,14.2579842913788
7,1685,NA,3.164,3.35997868046306
8,1685,NA,3.164,1.44699362905857
9,1685,NA,3.164,1.10030818279497
10,1685,NA,3.214,1.07075039005011
11,1685,NA,3.214,1.13888281206012
12,1685,NA,3.214,0.872352592832053
1,1686,NA,3.214,0.886888078054013
2,1686,NA,3.214,0.870494289142017
3,1686,NA,3.214,0.922960996787656
4,1686,NA,3.214,2.78894468197966
5,1686,NA,3.214,13.8244649825456
6,1686,NA,3.214,13.8510002574752
7,1686,NA,3.214,2.59545960406654
8,1686,NA,3.214,1.38169138031201
9,1686,NA,3.214,1.13020617763188
10,1686,NA,5.243,1.2575210811819
11,1686,NA,5.243,1.1872896893497
12,1686,NA,5.243,0.976513700457815
1,1687,NA,5.243,0.927670296466101
2,1687,NA,5.243,0.925689482679242
3,1687,NA,5.243,0.955739024949935
4,1687,NA,5.243,2.78894468197966
5,1687,NA,5.243,16.4877769911004
6,1687,NA,5.243,24.8585864692414
7,1687,NA,5.243,9.27222797860063
8,1687,NA,5.243,3.12109038377459
9,1687,NA,5.243,1.87056242515454
10,1687,NA,4.836,1.6130691635708
11,1687,NA,4.836,1.42780043969042
12,1687,NA,4.836,1.1832280986105
1,1688,NA,4.836,1.13475155404534
2,1688,NA,4.836,1.09391156391394
3,1688,NA,4.836,1.15544255460055
4,1688,NA,4.836,2.78894468197966
5,1688,NA,4.836,17.8348752500665
6,1688,NA,4.836,19.78126877192
7,1688,NA,4.836,6.91433075940696
8,1688,NA,4.836,2.72131447712432
9,1688,NA,4.836,1.95717536044728
10,1688,NA,4.221,1.5099052840871
11,1688,NA,4.221,1.38090079249656
12,1688,NA,4.221,1.2396153671549
1,1689,NA,4.221,1.01492555196558
2,1689,NA,4.221,0.993010915826338
3,1689,NA,4.221,1.17269569657804
4,1689,NA,4.221,2.78894468197966
5,1689,NA,4.221,20.671209173375
6,1689,NA,4.221,15.5193030163785
7,1689,NA,4.221,3.66183495809479
8,1689,NA,4.221,2.10971603490127
